id,addr,place,class,type,call,lat,lng
160,서울특별시 종로구 종로 299-1,동대문본가 설렁탕 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
161,서울특별시 종로구 종로 299-1,동대문본가 설렁탕 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
162,서울특별시 종로구 숭인동 1311,신설동역 11번출구 지하철역 입구,가로쓰레기통,일반쓰레기,,,
163,서울특별시 종로구 숭인동 1312,신설동역 11번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,,,
164,서울특별시 종로구 종로 294,KFC 동대문점 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
165,서울특별시 종로구 종로 294,KFC 동대문점 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
166,서울특별시 종로구 종로 289,빽다방 동대문역점 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
167,서울특별시 종로구 종로 294,KFC 동대문점 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
168,서울특별시 종로구 종로 307,동대문역 2번 출구 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
169,서울특별시 종로구 종로 359,동묘앞역 1호선 1번 출구 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
170,서울특별시 종로구 종로 400,ABL생명빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
171,서울특별시 종로구 인사동길 62,북인사관광안내소 앞 상가지역,가로쓰레기통,일반쓰레기,,,
172,서울특별시 종로구 인사동길 62,북인사관광안내소 앞 상가지역,가로쓰레기통,재활용쓰레기,,,
173,서울특별시 종로구 인사동길 40,수도약국 앞 상가지역,가로쓰레기통,일반쓰레기,,,
174,서울특별시 종로구 인사동길 40,수도약국 앞 상가지역,가로쓰레기통,재활용쓰레기,,,
175,서울특별시 종로구 인사동길12,대일빌딩 앞 상가지역,가로쓰레기통,일반쓰레기,,,
176,서울특별시 종로구 인사동길12,대일빌딩 앞 상가지역,가로쓰레기통,재활용쓰레기,,,
177,서울특별시 종로구 창신동 204-14,동대문(흥인지문)I3(01-037) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
178,서울특별시 종로구 신문로2가 15,서울역사박물관.경희궁I3(01-007) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
179,서울특별시 종로구 신문로2가 1-33,서울역사박물관.경희궁O3(01-008) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
180,서울특별시 종로구 종로5가 11-2,종로5가I6(이동형)(01-120) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
181,서울특별시 종로구 종로5가 11-2,종로5가I6(이동형)(01-120) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
182,서울특별시 종로구 종로5가 11-2,종로6가I6(이동형)(01-022) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
183,서울특별시 종로구 종로5가 11-2,종로6가I6(이동형)(01-022) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
184,서울특별시 종로구 종로4가 32-8,종로4가 버스정류소(01-018) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
185,서울특별시 종로구 종로4가 32-8,종로4가 버스정류소(01-018) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
186,서울특별시 종로구 종로129,종로3가 버스정류소(01-016) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
187,서울특별시 종로구 종로129,종로3가 버스정류소(01-016) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
188,서울특별시 종로구 종로 73,종로2가 버스정류소(01-013) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
189,서울특별시 종로구 종로 73,종로2가 버스정류소(01-013) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
190,서울특별시 종로구 사직로 115,경복궁역 1번 출구/사직단 어린이도서관 (01114) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
191,서울특별시 종로구 사직로 115,경복궁역 1번 출구/사직단 어린이도서관 (01114) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
192,서울특별시 종로구 무악동 47-9,독립문역/서대문형무소역사관(01167) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
193,서울특별시 종로구 무악동 47-9,독립문역/서대문형무소역사관(01167) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
194,서울특별시 종로구 새문안로 9,서대문역사거리/적십자병원(01169) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
195,서울특별시 종로구 새문안로 9,서대문역사거리/적십자병원(01169) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
196,서울특별시 종로구 신문로1가 141,광화문 버스정류장 앞 (01-009) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
197,서울특별시 종로구 신문로1가 141,광화문 버스정류장 앞 (01-009) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
198,서울특별시 종로구 종로1가 54,종로1가 버스정류장(01-012) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
199,서울특별시 종로구 종로1가 54,종로1가 버스정류장(01-012) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
200,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
201,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
202,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
203,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
204,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
205,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
206,서울특별시 종로구 신문로2가 15,서울역사박물관.경희궁I3(01-007) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
207,서울특별시 종로구 신문로2가 15,서울역사박물관.경희궁I3(01-007) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
208,서울특별시 종로구 신문로2가 1-33,서울역사박물관.경희궁O3(01-008) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
209,서울특별시 종로구 신문로2가 1-33,서울역사박물관.경희궁O3(01-008) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
210,서울특별시 종로구 종로 73,종로2가 버스정류소(01-013) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
211,서울특별시 종로구 종로 73,종로2가 버스정류소(01-013) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
212,서울특별시 종로구 사직로8길 4,버스정류장(01-1128) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
213,서울특별시 종로구 사직로8길 4,버스정류장(01-1128) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
