id,addr,lat,lng,place,class,type,call_number
622,서울 용산구 원효로4가 141,37.5334142631194,126.950616855957,원효2동산호아파트(청암동강변삼성아파트방면)버스정류장(03-300) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
623,서울 용산구 용문동 5-222,37.5388232171916,126.962566719593,백범로 효창공원역4번출구앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
624,서울 용산구 원효로1가 112-10,37.541046461724,126.970625508548,BMW 한독모터스용산전시장 횡단보도앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
625,서울 용산구 남영동 18-3,37.5449929760316,126.972308762868,숙대입구역 3/4번출구앞(군선도가게앞)  지하철역 입구,가로쓰레기통,일반쓰레기,
626,서울 용산구 서빙고동 271-106,37.5173389954607,126.98541405926,서빙고신동아아파트/신동아아파트버스정류장(03226)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
627,서울 용산구 한강로2가 102-1,37.5316000163335,126.970284031732,KT용산지사(삼각지방면)중앙버스정류장(도심/03-005) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
628,서울 용산구 한강로2가 102-1,37.5316000163335,126.970284031732,KT용산지사(삼각지방면)중앙버스정류장(도심/03-005) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
629,서울 용산구 한강로2가 102-1,37.5316000163335,126.970284031732,KT용산지사(신용산역방면)중앙버스정류장(외곽/03-006)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
630,서울 용산구 한강로2가 102-1,37.5316000163335,126.970284031732,KT용산지사(신용산역방면)중앙버스정류장(외곽/03-006) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
631,서울 용산구 한강로2가 420-3,37.5271077031075,126.965602436281,용산푸르지오써밋오피스텔 앞 인도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
632,서울 용산구 한강로2가 420,37.5272737608749,126.965305052351,용산푸르지오써밋오피스텔 앞 인도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
633,서울 용산구 한강로3가 16-26,37.5325402180849,126.958375128488,용산전자상가•전자랜드(용산전자상가12동방면)버스정류장(03136)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
634,서울 용산구 한강로3가 3-44,37.5329906167012,126.963516046094,신용산지하차도(용산전자상가입구방면)버스정류장(03251) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
635,서울 용산구 문배동 8-3,37.5381906802099,126.970739097223,문배동이안아파트앞(문배어린이공원방면)버스정류장(03332)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
636,서울 용산구 효창동 126-22,37.5400115003308,126.96158239929,금양초등학교 앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
637,서울 용산구 효창동 5-36,37.5416710166678,126.962311834202,국민은행효창동지점(숙명여대정문방면)버스정류장(03240) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
638,서울 용산구 청파동2가 134-5,37.5463335547607,126.963318417739,숙명여대후문•이봉창활동터(효창공원후문방면)버스정류장(03235) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
639,서울 용산구 서계동 217-12,37.5549829179766,126.968820933507,서부역건너편 미니스톱서울역점 횡단보도앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
640,서울 용산구 용산동5가 19-1,37.5235041191005,126.97086712225,용산세무서(용산공고방면)버스정류장((03262)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
641,서울 용산구 한강로3가 65-503,37.5230191937027,126.971582822344,기능장애인협회용산지부앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
642,서울 용산구 서빙고동 199-5,37.5206197454827,126.990999661866,GS25용산서빙고점(서빙고초등학교)앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
643,서울 용산구 용산동4가 10-4,37.533443926545,126.988359241264,녹사평역3번출구 200M전방(용산구청방향) 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
644,서울 용산구 용산동4가 19-2,37.5285028247354,126.991393321433,미군부대정문앞 횡단보도(한강중학교방면)  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
645,서울 용산구 서빙고동 4-137,37.5224446734134,126.990325452901,금호베스트빌앞(서빙고초등학교방면)버스정류장(03270)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
646,서울 용산구 한강로3가 40-17,37.5242687924037,126.962817214227,KY빌딩앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
647,서울 용산구 한남동 736-11,37.5345337736785,126.997055712296,이태원랜드앞 횡단보도  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
648,서울 용산구 한남동 736-8,37.5346827312153,126.998142774515,한남동 대성표구사앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
649,서울 용산구 한남동 739-16,37.5371288719495,127.000341134191,한남동새마을금고(이태원119안전센터방면)버스정류장(03194) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,
650,서울 용산구 한남동 737-4,37.5356663624966,126.998825797183,제일기획건너편  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
651,서울 용산구 후암동 175-9,37.5459324564214,126.976962756958,남영동주민센터(남영우체국방면)버스정류장(03206)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
652,서울 용산구 이촌동 212-22,37.5295613259132,126.954230980113,성촌공원∙포르쉐센터용산(이촌2동쥔센터방면)버스정류장(03-289) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
653,서울 용산구 이촌동 300-301,37.5184622780656,126.97603798549,강촌apt/신용산초등학교(이촌동점보아파트방면)버스정류장(03-220) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
654,서울 용산구 동자동 44-6,37.5544737223695,126.969349545168,한국철도공사(코레일서울본부)앞 모범택시정류장  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
655,서울 용산구 갈월동 69-109,37.5462493285732,126.971548092969,03-327 버스정류장 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
656,서울 용산구 이태원동 124-5,37.5348260156278,126.995668916993,이태원 지샥 패션잡화점 횡단보도앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
657,서울 용산구 서빙고동 235-11,37.5219500142105,126.991376200807,서빙고초등학교 담벽 가로등주변(남영비비안 본사 건너편) 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
658,서울 용산구 한강로2가 420,37.5272737608749,126.965305052351,한강대로 69(용산써밋오피스텔 정문앞 인도) 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
659,서울 용산구 한강로3가 65-503,37.5230191937027,126.971582822344, 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
660,서울 용산구 이태원동 128-9,37.5342372775784,126.993237544507,이태원역 4번출구 버스정류장(03191) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
661,서울 용산구 보광동 217-23,37.526395333298,127.000517340999,보광동 주민센터 버스정류장(03278) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
662,서울 용산구 한남동 262-1,37.5340827419992,127.008384545005,독서당로 71 청산빌딩 앞 버스정류장(03212) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
663,서울 용산구 한남동 522-1,37.5303376860557,127.007715042965,독서당로 한남주차장 앞 버스정류장(03286) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
664,서울 용산구 한남동 726-465,37.5460823540624,127.0023469218,한남대로 오일뱅크 버스정류장(03158) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
665,서울 용산구 이촌동 301-10,37.5200578206501,126.974536261291,신용산초등학교 버스장류장(03219) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
666,서울 용산구 원효로2가 27-3,37.536322028164,126.96368210321,남정초등학교 앞 버스정류장(03143) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
667,서울 용산구 후암동 262-3,37.5468112813346,126.980954329233,후암동 종점 버스정류장(03204) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
668,서울 용산구 남영동 3-4,37.5450937393559,126.973227226663,남영우체국 앞 버스정류장(03208) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
669,서울 용산구 서계동 267-14,37.5516459761709,126.962881477038,만리동고개 버스정류장(03227) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
670,서울 용산구 효창동 251-3,37.5394997001591,126.961208364177,효창공원앞 역 1번출구 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
671,서울 성동구 마장로 292,37.565383079598,127.042323740758,마장역 4번 출구 앞 지하철역 입구,가로쓰레기통,일반쓰레기,
672,서울 성동구 마조로 77,37.5647846611665,127.041239858501,성동노인종합복지관 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
673,서울 성동구 행당동 33-13,37.5569761011605,127.043203905919,한양대역 1번 출구 앞 지하철역 입구,가로쓰레기통,일반쓰레기,
674,서울 성동구 광나루로 230,37.5494727522647,127.055339729107,도요타트레이닝센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
675,서울 성동구 동일로 95,37.5412705205192,127.063210962825,풀하우스고시텔 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
676,서울 성동구 왕십리로 94-1,37.545999040665,127.044945651271,메가커피 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
677,서울 성동구 아차산로 85,37.5455842649293,127.053685080876,하남돼지집 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
678,서울 성동구 성수동2가 300-85,37.5445183553034,127.056824984105,성수역 2번 출구 지하철역 입구,가로쓰레기통,일반쓰레기,
679,서울 성동구 성수동2가 315-1,37.5439944321206,127.056621018739,성수역 3번 출구 지하철역 입구,가로쓰레기통,일반쓰레기,
680,서울 성동구 천호대로 308,37.5652248597338,127.054233759933,04-001 중앙버스차로  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
681,서울 성동구 천호대로 376,37.5617046124527,127.060643014206,04-002 중앙버스차로 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
682,서울 성동구 천호대로 426,37.5608945885496,127.066228887268,04-003 중앙버스차로 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
683,서울 성동구 천호대로 380-7,37.561560875022,127.061221939829,용답동 우체국 옆 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
684,서울 성동구 천호대로 400,37.5612964964549,127.063321479459,신창비바오피스텔 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
685,서울 성동구 자동차시장1길 63,37.5608172627743,127.064804090582,장한평역 6번 출구 앞 지하철역 입구,가로쓰레기통,일반쓰레기,
686,서울 성동구 자동차시장1길 73,37.5607950815557,127.065649763003,IBK기업은행 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
687,서울 성동구 고산자로 164,37.5550687570722,127.035424100115,04-140 응봉사거리 정류소 옆 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
688,서울 성동구 행당로6길 2,37.5553937219904,127.025371864252,논골사거리 GS시 편의점 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
689,서울 성동구 금호로 86,37.5511699359019,127.025777606856,금호연풍교회 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
690,서울 성동구 금호로 107,37.552272272942,127.024237649315,하이리버 커뮤니티 센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
691,서울 성동구 난계로 84,37.5591314196289,127.024079949145,04-276 풍림아파트 정류소 옆 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
692,서울 성동구 장터길 46,37.5481772254814,127.020995013708,김구선생 집터 교통섬 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
693,서울 성동구 금호동4가 1450,37.5482267774387,127.016470227455,08번 마을버스 회차 지점 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
694,서울 성동구 매봉길 50,37.5472989077685,127.01218936757,금호역 3번 출구 지하철역 입구,가로쓰레기통,일반쓰레기,
695,서울 성동구 독서당로 211,37.5438389184568,127.014348948586,옥수파출소 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
696,서울 성동구 독서당로 187,37.5426796954104,127.011889775629,극동아파트상가 KB국민은행 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
697,서울 성동구 금호로 173,37.5562788411556,127.018152303,신금호파크자이 정문 옆 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
698,서울 성동구 고산자로 269,37.5636973196685,127.035773854876,신한넥스텔 이디야커피 옆 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
699,서울 성동구 성수동1가 685-30,37.5440345571041,127.036416915261,04-222 뚝섬서울숲 정류소 옆 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
700,서울 성동구 광나루로 290,37.5477149347695,127.061988034564,04-212 성동세무서 정류소 옆 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
701,서울 성동구 마조로 77,37.5647846611665,127.041239858501,성동노인종합복지관 앞(04-759) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
702,서울 성동구 마조로 77,37.5647846611665,127.041239858501,성동노인종합복지관 앞(04-759) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,
703,서울 성동구 마장로 292,37.565383079598,127.042323740758,마장역 4번출구(04-117) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
704,서울 성동구 마장로 292,37.565383079598,127.042323740758,마장역 4번출구(04-117) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,
705,서울 성동구 왕십리로 50,37.5419000229184,127.044975552245,스타벅스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
